smiles_id,smiles
NPC211625,C/C=C(\C(=O)O[C@@H]1c2c(C)coc2C[C@@]2([C@@]1(C)[C@@H](C)CCC2)O)/C
NPC169743,COc1ccc2c(c1)c1cc(OC)c(cc1c1c2CN2CCCC[C@@H]2[C@@H]1O)OC
NPC242992,CC1=C[C@H]2[C@@H](CC1)[C@H](C)C[C@@H]([C@@]2(O)C(C)C)O
NPC309744,OC/C=C/c1cc(OC)c(c(c1)OC)O[C@@H]([C@@H](c1cc(OC)c(c(c1)OC)OC)OC(=O)C)C
NPC25695,C=CCc1cc(OC)c(c(c1)OC)O[C@@H]([C@@H](c1cc(OC)c2c(c1)OCO2)O)C
NPC79184,C/C=C/c1cc(OC)c(c(c1)OC)O[C@@H]([C@@H](c1cc(OC)c(c(c1)OC)OC)OC(=O)C)C
NPC58607,C/C=C/c1ccc(c(c1)OC)O[C@@H]([C@@H](c1ccc(c(c1)OC)O)O)C
NPC77861,COc1cc(ccc1O[C@@H]([C@@H](c1ccc(c(c1)OC)O)O)C)[C@@H]1O[C@@H]([C@@H]([C@H]1C)C)c1ccc(c(c1)OC)O
NPC172818,C/C=C/c1cc(OC)c(c(c1)OC)O[C@@H]([C@@H](c1cc(OC)c2c(c1)OCO2)O)C
NPC65183,COc1cc(cc(c1OC)OC)[C@H]1O[C@H]([C@@H]([C@@H]1C)C)c1cc(OC)c2c(c1)OCO2
NPC158331,COc1cc(ccc1OC)[C@H]1O[C@H]([C@@H]([C@@H]1C)C)c1cc(OC)c(c(c1)OC)O
NPC204215,COc1cc(cc(c1OC)OC)[C@@H]1O[C@@H]([C@H]([C@H]1C)C)c1cc(OC)c(c(c1)OC)O
NPC186063,COc1cc2c(cc1OC)c1C[C@H]3CCCN3Cc1c1c2cc(OC)c(c1)O
NPC146355,Oc1ccc(cc1O)[C@@H]1OC[C@@H]2[C@H]1CO[C@H]2c1ccc(c(c1)O)O
NPC31344,COc1cc(ccc1O)C[C@H]1COC[C@@H]1Cc1ccc(c(c1)OC)O
NPC53146,CN[C@H]1CCc2c(c3c1cc(=O)c(cc3)OC)c(OC)c(c(c2)O)OC
NPC473408,O=C/C=C/c1cc2c(c(c1)OC)O[C@@H]([C@H]2CO)c1cc(OC)c(c(c1)OC)O
NPC26601,COc1cc2c(cc1OC)c1C[C@H]3CCCN3Cc1c1c2cc(O)cc1
NPC222524,COc1cc2CCN3[C@H](c2cc1OC)Cc1c(C3=O)c(OC)c(cc1)OC
NPC225815,OC[C@@H]1Cc2cc(OC)c(c(c2[C@@H]([C@H]1CO[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)c1cc(OC)c(c(c1)OC)O)OC)O
NPC241854,C=C[C@@]1(C)CC=C2[C@H](C1)CC[C@H]1[C@@]2(C)CCC[C@@]1(C)C(=O)O
NPC165695,O=C1C[C@@]2(CC=C1C)[C@@H](C)CC[C@H]2C(C)C
NPC329837,COc1cc2CC[C@@H](c3c(c2c(c1OC)OC)ccc(c3O)OC)N=C(O)C
NPC95075,COc1ccc2c(c1)c1cc(OC)c(cc1c1c2CN2CCC[C@@H]2C1)OC
NPC93433,O=C/C=C/c1cc2c(c(c1)OC)O[C@@H]([C@H]2CO)c1ccc(c(c1)OC)O
NPC5428,COc1cc(ccc1O)C[C@H]([C@@](Cc1ccc(c(c1)OC)O)(CO)O)CO
NPC13789,C=C1CC[C@H]2O[C@@]2(CC[C@@H]2[C@@H]1CC2(C)C)C
NPC15658,Oc1cc2O[C@@H](c3ccc(c(c3)O)O)[C@@H](Cc2c(c1)O)O
NPC289322,Oc1cc(O)c2c(c1)O[C@H]([C@@H](C2)OC(=O)c1cc(O)c(c(c1)O)O)c1ccc(c(c1)O)O
NPC185908,COc1cc(C[C@H]2C(O)OC[C@@H]2Cc2ccc3c(c2)OCO3)cc(c1OC)OC
NPC184026,COc1cc2c(cc1OC)CCN1[C@H]2Cc2ccc(c(c2C1)OC)O
NPC134764,O[C@H]1OC[C@@H]([C@H]1Cc1ccc2c(c1)OCO2)Cc1ccc2c(c1)OCO2
NPC236522,COc1c(OC)cc(cc1OC)C[C@H]1C(O)OC[C@@H]1Cc1cc(OC)c(c(c1)OC)OC
