smiles_id,smiles
NPC179950,O=c1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
NPC18335,Nc1nc[nH]c2ncnc1-2
NPC264145,COC(=O)c1cc(O)c(O)c(O)c1
NPC57601,O=c1cc(-c2ccccc2)oc2cc(O)ccc12
NPC48366,COc1cc2cc(-c3cc4cc(O)c(O)cc4oc3=O)c(=O)oc2c(OC)c1O
NPC125449,O=c1c(-c2ccc(O)cc2)coc2c(O)c(O)ccc12
NPC203891,COc1ccc(-c2oc3cc(O)c(OC)c(O)c3c(=O)c2OC)cc1
NPC137949,O=c1ccc2cc(O)c(O)cc2o1
NPC216361,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12
NPC279121,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
NPC219330,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc(OC)c1OC
NPC473417,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
NPC28657,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C
NPC158020,CC(=O)O[C@H]1[C@@H]2[C@@H](OC(C)=O)[C@]3(OC2(C)C)[C@H](C)C[C@H](OC(=O)c2cccnc2)[C@H](OC(=O)c2ccccc2)[C@@]3(C)[C@H]1OC(=O)c1ccccc1
NPC318591,CC(C)NCC(O)COc1cccc2ccccc12
NPC136330,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N1CCCCC1
NPC187022,CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21
NPC471617,N=C(O)N1CCC(CC(=O)N2CCC([C@H]3c4ncc(Br)cc4CCc4cc(Cl)cc(Br)c43)CC2)CC1
NPC157212,C=CC(C)(C)c1cc2cc3c(cc2oc1=O)OC(C)(C)C=C3
NPC36836,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1
NPC72258,CC/C=C/C=O
NPC182570,CN1CCC[C@H]1c1cccnc1
NPC266347,CC(C)N=C=S
NPC2088,C=CCS[S+]([O-])CC=C
NPC192006,CCCCC[C@H](O)/C=C/[C@H]1C=CC(=O)[C@@H]1CCCCCCC(=O)O
NPC312132,Cc1ccc(C(C)C)cc1O
NPC223468,CC1CCC(C(C)C)C(O)C1
NPC4370,CC1(C)CCC[C@]2(C)[C@@H](C=O)C(C=O)=CC[C@@H]12
NPC96321,CC[C@H]1C[C@@H]2CN3CCc4c([nH]c5ccc(OC)cc45)[C@](C(=O)OC)(C2)[C@H]13
NPC184014,C/C=C/C=C/C=C\CC/C=C/C(O)=NCC(C)(C)O
NPC204932,Oc1ccccc1O
NPC309330,NCCCCN
NPC248970,CC(O)=N[C@@H](CS)C(=O)O
NPC100079,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC
NPC124512,C=C1CC[C@@H]2[C@](C)(CO)[C@H](O)CC[C@@]2(C)[C@@H]1C/C=C1/C(=O)OC[C@H]1O
NPC149571,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
NPC156432,C=C(C)[C@H]1Cc2c(oc3c4c(cc(O)c3c2=O)OC(C)(C)C=C4)-c2c(O)cc(O)c(O)c21
NPC51146,O=c1ccc2cc3ccoc3cc2o1
NPC15566,O=C(O)Cc1cnc[nH]1
NPC471603,Oc1ccc(-c2nc(-c3ccncc3)c(-c3ccc(F)cc3)[nH]2)cc1
NPC22774,OC[C@H]1NC[C@@H](O)[C@@H](O)[C@@H]1O
NPC286342,COc1c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c2c1=O
NPC328877,c1ccc2c(c1)Nc1ccccc1S2
NPC196449,CNc1ccc2oc(C[C@H]3O[C@@]4(CC[C@H]3C)O[C@H]([C@H](C)C(=O)c3ccc[nH]3)[C@H](C)C[C@H]4C)nc2c1C(=O)O
NPC306902,CN1CCc2cc3c(c4c2C1Cc1ccccc1-4)OCO3
NPC475112,CC(C)=CCCC1(C)C=Cc2c(ccc3c2[nH]c2cc(O)c(C)cc23)O1
NPC7839,O=C(O)C[C@@H]1C(=O)O[C@@H]2C(COC(=O)c3cc(O)c(O)c(O)c3)O[C@@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@@H](OC(=O)c3cc(O)c(O)c4c3[C@H]1[C@H](O)C(=O)O4)[C@H]2OC(=O)c1cc(O)c(O)c(O)c1
NPC167400,O=C(O)c1cccnc1
NPC184964,Oc1ccc2[nH]ccc2c1
NPC319140,CC1=C2C(=O)OC(c3ccoc3)C2(C)CCC1
NPC141791,O=C(/C=C\c1ccc(O)c(O)c1)OCCc1ccccc1
NPC291548,C[C@@H]1CC[C@@]2(OC1)O[C@H]1[C@@H](O)[C@H]3[C@@H]4CC[C@H]5C[C@@H](O[C@@H]6O[C@H](CO)[C@H](O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O[C@@H]8OC[C@@H](O)[C@H](O)[C@H]8O)[C@H]7O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@@H]2C
NPC252603,Cn1c(=O)c2nc[nH]c2n(C)c1=O
NPC46451,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3
NPC125416,N=C(NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)NC(=N)Nc1ccc(Cl)cc1
NPC51695,C[C@H]1C[C@@H](C)C(=O)[C@@H]([C@H](O)CC2CC(=O)N=C(O)C2)C1
NPC190184,N=C(O)CC[C@@H](N)C(=O)O
NPC100734,COC(=O)[C@@H]1[C@@H]2C[C@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@@H]2C[C@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@H]1OC
NPC212415,CC1(C)CCC2=C(O1)c1ccccc1C(=O)C2=O
NPC68441,Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O
NPC73416,COc1ccc2c(c1O)C(=O)c1ccccc1C2=O
NPC287331,CC12CCC(CC1)C(C)(C)O2
NPC245531,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl
NPC180534,C=CCCCCCCCCC(=O)O
NPC309367,CN(C)C(=S)SSC(=S)N(C)C
NPC262926,N=c1nc(O)c2ncn([C@H]3C[C@H](O)[C@@H](CO)O3)c2[nH]1
NPC301874,Nc1ccc(N)cc1
NPC44963,CC(C)=CCC[C@]1(C)[C@@H](CC=C(C)C)C[C@@]2(CC=C(C)C)C(=O)[C@]1(C(=O)C(C)C)C(=O)C(CC=C(C)C)=C2O
NPC168829,C=CCc1ccc(O)c(-c2ccc(O)c(CC=C)c2)c1
NPC148523,C[C@H]1[C@H](C)CC[C@]2(C)CC[C@]3(C)C(=CC(=O)[C@@H]4[C@@]5(C)CC[C@@H](O)[C@](C)(C(=O)O)[C@@H]5CC[C@]43C)[C@H]12
NPC125578,CCCCCCCCCCCCCCCCC1=C(O)C(=O)C=C(OC)C1=O
