smiles_id,smiles
NPC104444,Cn1ccc2c(c1=O)C(=O)c1nccc3c1c-2nc1ccccc13
NPC193536,NCCCCNCCCN
NPC192638,C=C(C)[C@@H]1CC[C@]2(C)CC[C@]3(C)[C@H](CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]12
NPC185498,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
NPC153594,CCCCC[C@H](O)[C@@H](O)/C=C/[C@@H](O)CCCCCCCC(=O)O
NPC476118,CCN(CC)CCN=C(O)c1c(C)[nH]c(/C=C2\C(O)=Nc3ccc(F)cc32)c1C
NPC279121,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
NPC292265,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O
NPC297647,C[C@@H]1CC[C@@H](c2ccoc2)N2[C@H]1CC[C@@]1(CS[C@@]3(CC[C@H]4[C@H](C)CC[C@@H](c5ccoc5)N4[C@@H]3O)C1)[C@H]2O
NPC56271,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
NPC95864,O=C1/C(=C/c2ccc(O)c(O)c2)COc2cc(O)ccc21
NPC469308,C[S+]([O-])c1ccc(-c2nc(-c3ccncc3)c(-c3ccc(F)cc3)[nH]2)cc1
NPC213222,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](O)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
NPC476483,ON=C(O)CCCCCCC(O)=Nc1ccccc1
NPC22225,C=CC(C)(C)[C@@]12C=C(O)C(=O)N3/C(=C/c4cnc[nH]4)C(O)=N[C@]31N(OC)c1ccccc12
NPC174802,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
NPC471579,c1ccc(-c2n[nH]cc2-c2ccnc3ccccc23)nc1
NPC480387,Cc1ccc(S(=O)(=O)/C=C/C#N)cc1
NPC147691,CC(C)CC(=O)c1c(O)c(C=O)c(O)c(C[C@@]2(C)CC[C@@H]3[C@@H]2[C@H]2[C@@H](CC[C@@]3(C)O)C2(C)C)c1O
NPC100079,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC
NPC471688,Cc1c(O)c(O)c2c(c1C=O)[C@@H]1O[C@H](O2)c2c(C)c(O)c(O)c(O)c2C1=O
NPC26413,CC(=O)O[C@@H]1CC[C@@]2(C)[C@@H](CC[C@]3(C)[C@@H]2C(=O)C=C2[C@@H]4[C@@H](C)[C@H](C)CC[C@]4(C)CC[C@]23C)[C@@]1(C)C(=O)O
NPC26697,O=C(/C=C/c1ccc(O)c(O)c1)c1ccc(O)cc1O
NPC486486,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1
NPC290534,O/N=C1\Cc2ccc(c(Br)c2)Oc2cc(cc(Br)c2O)CC(=N\O)/C(O)=N/C=C/c2ccc(c(Br)c2)Oc2cc(cc(Br)c2O)CCN=C1O
NPC115674,C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(=O)cc(-c5ccc(O)c(O)c5)oc4c3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
NPC51000,N=c1nc(S)c2nc[nH]c2[nH]1
NPC474460,CC(=CCCC(C)(O)C=CCC(C)=CCCC(C)=CCO)CO
NPC235059,O=C/C=C/c1ccccc1
NPC478668,Cc1c(C)c2c(c(C)c1O)CCC(C)(C(=O)O)O2
NPC482257,CN1CCc2cn(C)c3c2C1=CC(=NCCc1ccc(O)cc1)C3=O
NPC321929,Oc1ncnc2n[nH]cc12
NPC220825,Oc1cc(O)c2c(c1)O[C@H](c1cc(O)c(O)c(O)c1)[C@H](O)C2
NPC477267,CCC(C)C(=O)C1=C(O)[C@]2(C[C@H]3[C@H](CC[C@@]3(C)O)[C@](C)(O)C2)C(=O)[C@](C)(CC=C(C)C)C1=O
NPC482626,COc1ccc(O)c(C(C)(C)C)c1.COc1ccc(O)cc1C(C)(C)C
NPC133162,CNCCC=C1c2ccccc2CCc2ccccc21
NPC328920,ClC(Cl)(Cl)Cl
NPC330590,NCC[C@H](O)C(O)=N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O
NPC481912,N=C(O)NO
NPC478721,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O
