smiles_id,smiles
NPC193536,NCCCCNCCCN
NPC100079,COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC
NPC240084,N=c1nc(O)c2ncc(O)nc2[nH]1
NPC167400,O=C(O)c1cccnc1
NPC469812,CCC(C)C1OC2(CCC1C)CC1CC(CC=C(C)C(OC3CC(OC)C(OC4CC(OC)C(O)C(C)O4)C(C)O3)C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)O1)C34O)O2.COC1CC(OC2C(C)OC(OC3C(C)=CCC4CC(CC5(CCC(C)C(C(C)C)O5)O4)OC(=O)C4C=C(C)C(O)C5OCC(=CC=CC3C)C45O)CC2OC)OC(C)C1O
NPC316797,CN(C)CCOC(c1ccccc1)c1ccccc1
NPC109083,COc1cc(/C=C/C(=O)/C=C(O)/C=C/c2ccc(O)c(OC)c2)ccc1O
NPC227622,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
NPC304788,O=C1C=CC(=O)C=C1
NPC478931,CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C
