smiles_id,molecule_chembl_id,ss,standard_type,pchembl_value,target_chembl_id,uniprot
NPC100049,CHEMBL1208793,1.0000,IC50,5.2000,CHEMBL4822,P56817
NPC100049,CHEMBL450522,0.8889,IC50,5.8000,CHEMBL4822,P56817
NPC100049,CHEMBL255493,0.8519,IC50,5.8500,CHEMBL4822,P56817
NPC100049,CHEMBL255493,0.8519,IC50,5.3100,CHEMBL2487,P05067
NPC100079,CHEMBL258893,1.0000,IC50,7.6200,CHEMBL3582,Q02156
NPC100079,CHEMBL258893,1.0000,IC50,5.1600,CHEMBL6094,P63000
NPC100079,CHEMBL258893,1.0000,Ki,5.9500,CHEMBL220,P22303
NPC100079,CHEMBL258893,1.0000,Ki,6.5000,CHEMBL220,P22303
NPC100079,CHEMBL258893,1.0000,Ki,6.0400,CHEMBL4078,O42275
NPC100079,CHEMBL258893,1.0000,Ki,6.3200,CHEMBL4078,O42275
NPC100079,CHEMBL258893,1.0000,IC50,5.8100,CHEMBL220,P22303
NPC100079,CHEMBL258893,1.0000,IC50,5.4200,CHEMBL4078,O42275
NPC100079,CHEMBL258893,1.0000,IC50,5.2000,CHEMBL5763,P81908
NPC100551,CHEMBL424,1.0000,Ki,5.0000,CHEMBL261,P00915
NPC100551,CHEMBL424,1.0000,Ki,5.1500,CHEMBL205,P00918
NPC100551,CHEMBL424,1.0000,Ki,5.1400,CHEMBL5973,Q99N23
NPC100551,CHEMBL424,1.0000,Ki,5.0600,CHEMBL3242,O43570
NPC100551,CHEMBL424,1.0000,Kd,6.0000,CHEMBL2311236,P09429
NPC100551,CHEMBL424,1.0000,Ki,9.8000,CHEMBL4523354,Q6XQN6
NPC100697,CHEMBL2023564,1.0000,IC50,5.2000,CHEMBL4026,P40763
NPC100734,CHEMBL772,1.0000,Ki,7.0000,CHEMBL4302,P08183
NPC100734,CHEMBL772,1.0000,IC50,5.5200,CHEMBL4302,P08183
NPC100734,CHEMBL772,1.0000,Ki,9.0000,CHEMBL4271,Q27963
NPC100734,CHEMBL772,1.0000,IC50,5.4900,CHEMBL4302,P08183
NPC100734,CHEMBL772,1.0000,IC50,5.1000,CHEMBL5114,P0A0J7
NPC100734,CHEMBL772,1.0000,IC50,5.1600,CHEMBL5114,P0A0J7
NPC100734,CHEMBL772,1.0000,IC50,5.3800,CHEMBL233,P35372
NPC100734,CHEMBL772,1.0000,Ki,5.7700,CHEMBL233,P35372
NPC100734,CHEMBL772,1.0000,IC50,5.0900,CHEMBL5114,P0A0J7
NPC100734,CHEMBL772,1.0000,IC50,5.0500,CHEMBL5114,P0A0J7
NPC100734,CHEMBL772,1.0000,IC50,5.0400,CHEMBL5114,P0A0J7
NPC100734,CHEMBL772,1.0000,Ki,8.2800,CHEMBL1893,Q05940
NPC100734,CHEMBL772,1.0000,Ki,6.2000,CHEMBL1893,Q05940
NPC100734,CHEMBL772,1.0000,Kd,8.1000,CHEMBL1893,Q05940
NPC100734,CHEMBL772,1.0000,Ki,6.3900,CHEMBL1893,Q05940
NPC100734,CHEMBL772,1.0000,IC50,7.8800,CHEMBL1893,Q05940
NPC100734,CHEMBL772,1.0000,IC50,8.7500,CHEMBL4295886,Q8BRU6
NPC100925,CHEMBL1171256,1.0000,IC50,5.1200,CHEMBL221,P23219
NPC100925,CHEMBL1171256,1.0000,IC50,5.0500,CHEMBL230,P35354
NPC100925,CHEMBL1171445,1.0000,IC50,5.0600,CHEMBL221,P23219
NPC100925,CHEMBL1171445,1.0000,IC50,5.0500,CHEMBL230,P35354
NPC100925,CHEMBL1171251,0.9922,IC50,5.1100,CHEMBL221,P23219
NPC100925,CHEMBL1171251,0.9922,IC50,5.1700,CHEMBL230,P35354
NPC100925,CHEMBL1171252,0.9922,IC50,5.2000,CHEMBL221,P23219
NPC100925,CHEMBL1171252,0.9922,IC50,5.2100,CHEMBL230,P35354
NPC100925,CHEMBL1171253,0.9688,IC50,5.0600,CHEMBL221,P23219
NPC100925,CHEMBL1171253,0.9688,IC50,5.1100,CHEMBL230,P35354
NPC100925,CHEMBL1171254,0.9237,IC50,5.0500,CHEMBL221,P23219
NPC100925,CHEMBL1171254,0.9237,IC50,5.1000,CHEMBL230,P35354
NPC100925,CHEMBL1171446,0.9237,IC50,5.0800,CHEMBL221,P23219
NPC100925,CHEMBL1171446,0.9237,IC50,5.0700,CHEMBL230,P35354
NPC100925,CHEMBL1171447,0.9167,IC50,5.2300,CHEMBL221,P23219
NPC100925,CHEMBL1171447,0.9167,IC50,5.1700,CHEMBL230,P35354
NPC100925,CHEMBL526701,0.8939,IC50,5.5800,CHEMBL4321,Q05769
NPC100925,CHEMBL1171257,0.8939,IC50,5.1000,CHEMBL221,P23219
NPC100925,CHEMBL1171257,0.8939,IC50,5.1200,CHEMBL230,P35354
NPC100925,CHEMBL1171258,0.8939,IC50,5.1200,CHEMBL221,P23219
NPC100925,CHEMBL1171258,0.8939,IC50,5.0600,CHEMBL230,P35354
NPC100925,CHEMBL1171255,0.8519,IC50,5.1100,CHEMBL221,P23219
NPC100925,CHEMBL1171255,0.8519,IC50,5.1400,CHEMBL230,P35354
NPC100980,CHEMBL14060,1.0000,Ki,5.0400,CHEMBL3242,O43570
NPC100980,CHEMBL14060,1.0000,Ki,5.0200,CHEMBL3729,P22748
NPC100980,CHEMBL14060,1.0000,Ki,5.5700,CHEMBL2885,P07451
NPC100980,CHEMBL14060,1.0000,Ki,5.0600,CHEMBL3594,Q16790
NPC100980,CHEMBL14060,1.0000,Ki,5.2600,CHEMBL205,P00918
NPC100998,CHEMBL444478,0.8889,IC50,5.1100,CHEMBL3471,Q7ZJM1
NPC100998,CHEMBL444478,0.8889,IC50,5.0300,CHEMBL299,P17252
NPC100998,CHEMBL444478,0.8889,Ki,6.1600,CHEMBL3108635,O96394
NPC100998,CHEMBL1364101,0.8889,EC50,5.0100,CHEMBL1293319,Q9XUB2
NPC101139,CHEMBL425723,1.0000,IC50,6.1600,CHEMBL4193,Q9SEH8
NPC101139,CHEMBL425723,1.0000,Ki,6.8700,CHEMBL4193,Q9SEH8
NPC101139,CHEMBL425723,1.0000,Ki,5.0200,CHEMBL4193,Q9SEH8
NPC101399,CHEMBL4167976,0.8806,IC50,5.2100,CHEMBL3399911,P35520
NPC101475,CHEMBL400074,1.0000,IC50,5.0200,CHEMBL335,P18031
NPC101830,CHEMBL165509,1.0000,IC50,5.9200,CHEMBL5393,Q9UNQ0
NPC101830,CHEMBL165509,1.0000,IC50,5.7000,CHEMBL5393,Q9UNQ0
NPC102253,CHEMBL3350010,1.0000,IC50,5.2200,CHEMBL285,O70536
NPC102280,CHEMBL499587,0.8929,Kd,7.3200,CHEMBL1783,P15692
NPC102280,CHEMBL499587,0.8929,Kd,7.6400,CHEMBL1697671,P49763
NPC102338,CHEMBL60533,1.0000,Ki,7.1400,CHEMBL4354,P97266
NPC102338,CHEMBL60533,1.0000,Ki,5.5400,CHEMBL236,P41143
NPC102338,CHEMBL60533,1.0000,Ki,5.5900,CHEMBL3952,P41144
NPC102338,CHEMBL60533,1.0000,Ki,5.7200,CHEMBL237,P41145
NPC102338,CHEMBL60533,1.0000,Ki,6.9300,CHEMBL233,P35372
NPC102338,CHEMBL60533,1.0000,Ki,7.3800,CHEMBL223,P25100
NPC102338,CHEMBL60533,1.0000,Ki,5.7200,CHEMBL233,P35372
NPC102338,CHEMBL327134,1.0000,IC50,5.7100,CHEMBL1914,P06276
NPC102338,CHEMBL327134,1.0000,IC50,5.3000,CHEMBL5763,P81908
NPC102540,CHEMBL463255,1.0000,IC50,6.0900,CHEMBL3318,O42713
NPC10262,CHEMBL80254,1.0000,Ki,6.4000,CHEMBL2568,P06737
NPC10262,CHEMBL80254,1.0000,IC50,6.8200,CHEMBL1075248,P08019
NPC10262,CHEMBL80254,1.0000,IC50,5.0800,CHEMBL5272,P35573
NPC10262,CHEMBL80254,1.0000,IC50,5.2400,CHEMBL3114,P23739
NPC10262,CHEMBL80254,1.0000,IC50,6.0800,CHEMBL4357,P07265
NPC10262,CHEMBL80254,1.0000,IC50,5.6000,CHEMBL2176863,I3LIR5
NPC10262,CHEMBL80254,1.0000,IC50,6.0000,CHEMBL3239,P09811
NPC10262,CHEMBL80254,1.0000,IC50,5.9600,CHEMBL3239,P09811
NPC10262,CHEMBL80254,1.0000,Ki,6.4000,CHEMBL4696,P00489
NPC10262,CHEMBL406973,1.0000,IC50,5.8900,CHEMBL3114,P23739
NPC10262,CHEMBL406973,1.0000,IC50,7.1000,CHEMBL3114,P23739
NPC10262,CHEMBL406973,1.0000,IC50,5.7700,CHEMBL3114,P23739
NPC10262,CHEMBL406973,1.0000,IC50,6.0000,CHEMBL3114,P23739
NPC10262,CHEMBL406973,1.0000,IC50,6.4400,CHEMBL3114,P23739
NPC10262,CHEMBL406973,1.0000,IC50,6.0300,CHEMBL3513,Q6P7A9
NPC10262,CHEMBL406973,1.0000,Ki,5.7000,CHEMBL5217,Q42656
NPC10262,CHEMBL406973,1.0000,Ki,5.3700,CHEMBL4603,P00722
NPC10262,CHEMBL406973,1.0000,IC50,6.0000,CHEMBL2748,P14410
NPC10262,CHEMBL261634,1.0000,Ki,5.2100,CHEMBL6134,Q9GPQ4
NPC10262,CHEMBL261634,1.0000,Ki,5.9000,CHEMBL2308,Q9UKM7
NPC10262,CHEMBL1289018,1.0000,IC50,5.0200,CHEMBL2524,P06280
NPC10262,CHEMBL84844,0.8571,Ki,5.3300,CHEMBL4176,P04066
NPC10262,CHEMBL84844,0.8571,Ki,5.3300,CHEMBL3545,Q2KIM0
NPC10262,CHEMBL307429,0.8571,IC50,6.4400,CHEMBL2074,O43451
NPC10262,CHEMBL307429,0.8571,Ki,5.0200,CHEMBL4192,Q43014
NPC10262,CHEMBL307429,0.8571,Ki,5.7000,CHEMBL2179,P04062
NPC10262,CHEMBL307429,0.8571,Ki,6.8000,CHEMBL2519,Q14697
NPC10262,CHEMBL307429,0.8571,Ki,7.8500,CHEMBL2519,Q14697
NPC10262,CHEMBL307429,0.8571,IC50,6.5200,CHEMBL3635,Q8BVW0
NPC10262,CHEMBL307429,0.8571,IC50,6.4000,CHEMBL2974,Q9MYM4
NPC10262,CHEMBL307429,0.8571,IC50,5.8900,CHEMBL2519,Q14697
NPC10262,CHEMBL307429,0.8571,Ki,7.6200,CHEMBL3114,P23739
NPC10262,CHEMBL307429,0.8571,Ki,6.8200,CHEMBL2608,P10253
NPC10262,CHEMBL307429,0.8571,IC50,7.5200,CHEMBL5280,Q9LGC6
NPC10262,CHEMBL307429,0.8571,IC50,7.4000,CHEMBL2074,O43451
NPC10262,CHEMBL307429,0.8571,IC50,7.3000,CHEMBL5280,Q9LGC6
NPC10262,CHEMBL307429,0.8571,IC50,6.4400,CHEMBL3114,P23739
NPC10262,CHEMBL307429,0.8571,IC50,5.7800,CHEMBL4412,P94451
NPC10262,CHEMBL307429,0.8571,IC50,6.4000,CHEMBL3513,Q6P7A9
NPC10262,CHEMBL307429,0.8571,IC50,6.8900,CHEMBL3513,Q6P7A9
NPC10262,CHEMBL307429,0.8571,IC50,6.8000,CHEMBL3114,P23739
NPC10262,CHEMBL307429,0.8571,IC50,6.0000,CHEMBL2608,P10253
NPC10262,CHEMBL307429,0.8571,IC50,6.7200,CHEMBL5273,P35574
NPC10262,CHEMBL307429,0.8571,IC50,7.2200,CHEMBL2608,P10253
NPC10262,CHEMBL307429,0.8571,IC50,5.7000,CHEMBL2748,P14410
NPC10262,CHEMBL307429,0.8571,IC50,5.7000,CHEMBL2074,O43451
NPC10262,CHEMBL307429,0.8571,IC50,5.8200,CHEMBL2608,P10253
NPC10262,CHEMBL307429,0.8571,IC50,5.0000,CHEMBL5272,P35573
NPC10262,CHEMBL307429,0.8571,IC50,6.1900,CHEMBL3114,P23739
NPC10262,CHEMBL307429,0.8571,IC50,6.2900,CHEMBL3114,P23739
NPC10262,CHEMBL307429,0.8571,IC50,6.6800,CHEMBL3114,P23739
NPC10262,CHEMBL307429,0.8571,IC50,6.5200,CHEMBL3114,P23739
NPC10262,CHEMBL307429,0.8571,IC50,6.4400,CHEMBL3513,Q6P7A9
NPC10262,CHEMBL307429,0.8571,IC50,6.7200,CHEMBL3114,P23739
NPC10262,CHEMBL307429,0.8571,IC50,6.2100,CHEMBL3114,P23739
NPC10262,CHEMBL307429,0.8571,IC50,5.8500,CHEMBL2074,O43451
NPC10262,CHEMBL307429,0.8571,IC50,5.0900,CHEMBL2074,O43451
NPC10262,CHEMBL307429,0.8571,Ki,7.2300,CHEMBL2608,P10253
NPC10262,CHEMBL369297,0.8571,IC50,5.3700,CHEMBL5280,Q9LGC6
NPC10262,CHEMBL110458,0.8571,IC50,5.7500,CHEMBL3936,Q9UUZ4
NPC10262,CHEMBL110458,0.8571,IC50,6.5800,CHEMBL2748,P14410
NPC10262,CHEMBL110458,0.8571,IC50,5.8200,CHEMBL2074,O43451
NPC10262,CHEMBL110458,0.8571,IC50,5.2200,CHEMBL2608,P10253
NPC10262,CHEMBL110458,0.8571,IC50,5.0000,CHEMBL5272,P35573
NPC10262,CHEMBL110458,0.8571,IC50,8.5200,CHEMBL5217,Q42656
NPC10262,CHEMBL110458,0.8571,IC50,7.1600,CHEMBL2524,P06280
NPC10262,CHEMBL110458,0.8571,Ki,7.8900,CHEMBL5217,Q42656
NPC10262,CHEMBL110458,0.8571,IC50,7.8900,CHEMBL2524,P06280
NPC10262,CHEMBL110458,0.8571,IC50,7.3800,CHEMBL2524,P06280
NPC10262,CHEMBL176021,0.8571,IC50,6.2000,CHEMBL3545,Q2KIM0
NPC10262,CHEMBL176021,0.8571,IC50,5.4600,CHEMBL4176,P04066
NPC10262,CHEMBL176021,0.8571,Ki,7.1000,CHEMBL3545,Q2KIM0
NPC10262,CHEMBL175901,0.8571,IC50,5.0500,CHEMBL2063,Q16739
NPC102683,CHEMBL168,1.0000,IC50,5.4100,CHEMBL335,P18031
NPC102683,CHEMBL168,1.0000,IC50,5.0600,CHEMBL2392,P06746
NPC102683,CHEMBL168,1.0000,IC50,5.1200,CHEMBL335,P18031
NPC102683,CHEMBL168,1.0000,IC50,5.1200,CHEMBL4343,P06766
NPC102683,CHEMBL168,1.0000,IC50,5.4300,CHEMBL4343,P06766
NPC102683,CHEMBL168,1.0000,IC50,5.4700,CHEMBL3807,P17706
NPC102683,CHEMBL168,1.0000,IC50,5.3800,CHEMBL335,P18031
NPC102683,CHEMBL168,1.0000,IC50,5.1000,CHEMBL2366517,Q9YQ12
NPC102683,CHEMBL168,1.0000,IC50,5.4200,CHEMBL335,P18031
NPC102683,CHEMBL168,1.0000,IC50,5.2500,CHEMBL335,P18031
NPC102683,CHEMBL168,1.0000,IC50,5.5200,CHEMBL4426,P04054
NPC102683,CHEMBL168,1.0000,IC50,5.5200,CHEMBL2392,P06746
NPC102683,CHEMBL168,1.0000,IC50,5.4000,CHEMBL5983,O60218
NPC102683,CHEMBL168,1.0000,Ki,5.4500,CHEMBL5983,O60218
NPC102683,CHEMBL168,1.0000,Ki,6.1800,CHEMBL5983,O60218
NPC102683,CHEMBL168,1.0000,Ki,6.0300,CHEMBL5983,O60218
NPC102683,CHEMBL168,1.0000,Ki,6.8000,CHEMBL5983,O60218
NPC102683,CHEMBL168,1.0000,Ki,7.1400,CHEMBL5983,O60218
NPC102683,CHEMBL168,1.0000,IC50,7.0500,CHEMBL5983,O60218
NPC102683,CHEMBL168,1.0000,IC50,5.3000,CHEMBL335,P18031
NPC102683,CHEMBL168,1.0000,IC50,5.4700,CHEMBL335,P18031
NPC102683,CHEMBL168,1.0000,IC50,5.7000,CHEMBL335,P18031
NPC102683,CHEMBL168,1.0000,IC50,5.7200,CHEMBL335,P18031
NPC102683,CHEMBL168,1.0000,IC50,5.3700,CHEMBL3807,P17706
NPC102683,CHEMBL168,1.0000,IC50,5.3500,CHEMBL3807,P17706
NPC102683,CHEMBL168,1.0000,IC50,6.0100,CHEMBL4804,P30305
NPC102683,CHEMBL168,1.0000,IC50,5.0200,CHEMBL335,P18031
NPC102683,CHEMBL168,1.0000,Ki,5.2200,CHEMBL335,P18031
NPC102683,CHEMBL168,1.0000,IC50,5.9900,CHEMBL335,P18031
NPC102683,CHEMBL168,1.0000,IC50,5.9300,CHEMBL335,P18031
NPC102683,CHEMBL168,1.0000,IC50,6.0000,CHEMBL335,P18031
NPC102683,CHEMBL168,1.0000,IC50,6.1600,CHEMBL335,P18031
NPC102683,CHEMBL168,1.0000,IC50,6.1400,CHEMBL335,P18031
NPC102683,CHEMBL168,1.0000,IC50,5.5200,CHEMBL335,P18031
NPC102683,CHEMBL168,1.0000,IC50,5.8100,CHEMBL335,P18031
NPC102683,CHEMBL168,1.0000,IC50,5.6400,CHEMBL335,P18031
NPC102683,CHEMBL168,1.0000,IC50,5.9600,CHEMBL335,P18031
NPC102683,CHEMBL168,1.0000,IC50,5.8000,CHEMBL3807,P17706
NPC102683,CHEMBL168,1.0000,IC50,6.0000,CHEMBL3243,P08575
NPC102683,CHEMBL168,1.0000,IC50,5.2700,CHEMBL2635,P51452
NPC102683,CHEMBL168,1.0000,IC50,5.4600,CHEMBL335,P18031
NPC102683,CHEMBL168,1.0000,IC50,5.1100,CHEMBL3807,P17706
NPC102683,CHEMBL168,1.0000,IC50,8.3000,CHEMBL4081,P13726
NPC102683,CHEMBL168,1.0000,IC50,5.4800,CHEMBL335,P18031
NPC102683,CHEMBL168,1.0000,IC50,5.6900,CHEMBL335,P18031
NPC102683,CHEMBL168,1.0000,IC50,5.6200,CHEMBL5533,Q04206
NPC102683,CHEMBL168,1.0000,IC50,5.7900,CHEMBL335,P18031
NPC102683,CHEMBL168,1.0000,IC50,5.3100,CHEMBL3807,P17706
NPC102683,CHEMBL168,1.0000,IC50,5.1900,CHEMBL3807,P17706
NPC102683,CHEMBL168,1.0000,IC50,5.5700,CHEMBL335,P18031
NPC102683,CHEMBL168,1.0000,IC50,5.3700,CHEMBL335,P18031
NPC102683,CHEMBL168,1.0000,IC50,5.5300,CHEMBL335,P18031
NPC102683,CHEMBL168,1.0000,IC50,5.5800,CHEMBL335,P18031
NPC102683,CHEMBL168,1.0000,IC50,5.3000,CHEMBL3807,P17706
NPC102683,CHEMBL168,1.0000,IC50,7.0000,CHEMBL2265,P23141
NPC102683,CHEMBL168,1.0000,IC50,5.6000,CHEMBL335,P18031
NPC102683,CHEMBL168,1.0000,IC50,6.3000,CHEMBL335,P18031
NPC102683,CHEMBL168,1.0000,IC50,6.1600,CHEMBL3807,P17706
NPC102683,CHEMBL486382,1.0000,IC50,5.3000,CHEMBL335,P18031
NPC102683,CHEMBL486382,1.0000,IC50,5.2900,CHEMBL3807,P17706
NPC102683,CHEMBL1783815,0.8909,IC50,5.4000,CHEMBL2366517,Q9YQ12
NPC102741,CHEMBL1727091,1.0000,IC50,5.1000,CHEMBL5804,Q9NR96
NPC10286,CHEMBL33720,1.0000,EC50,5.1800,CHEMBL1075144,Q9GZQ4
NPC103342,CHEMBL165064,1.0000,IC50,5.2700,CHEMBL4361,Q07820
NPC103342,CHEMBL165064,1.0000,IC50,8.4000,CHEMBL3649,P80457
NPC103420,CHEMBL1951300,1.0000,IC50,6.8200,CHEMBL3318,O42713
NPC104070,CHEMBL545413,1.0000,Ki,6.0000,CHEMBL2039,P27338
NPC104222,CHEMBL382408,1.0000,IC50,5.8000,CHEMBL1293269,A3EZJ3
NPC104222,CHEMBL382408,1.0000,IC50,6.3300,CHEMBL4241,P52020
NPC104222,CHEMBL382408,1.0000,IC50,6.7700,CHEMBL244,P00742
NPC104222,CHEMBL382408,1.0000,Ki,6.2400,CHEMBL244,P00742
NPC104222,CHEMBL382408,1.0000,IC50,7.3000,CHEMBL4471,P00735
NPC104222,CHEMBL382408,1.0000,IC50,6.9600,CHEMBL4471,P00735
NPC104222,CHEMBL382408,1.0000,Ki,5.4100,CHEMBL4471,P00735
NPC104222,CHEMBL382408,1.0000,IC50,5.5000,CHEMBL3649,P80457
NPC104222,CHEMBL382408,1.0000,IC50,6.5200,CHEMBL4296326,P58335
NPC104222,CHEMBL382408,1.0000,IC50,5.9600,CHEMBL2396505,P03313
NPC104222,CHEMBL382408,1.0000,IC50,5.4200,CHEMBL4822,P56817
NPC104222,CHEMBL382408,1.0000,Ki,5.2900,CHEMBL4822,P56817
NPC104222,CHEMBL382408,1.0000,IC50,5.6300,CHEMBL2478,P0DUB6
NPC104222,CHEMBL382408,1.0000,Ki,5.5800,CHEMBL2478,P0DUB6
NPC104222,CHEMBL382408,1.0000,IC50,6.2200,CHEMBL4296326,P58335
