smiles_id,molecule_chembl_id,ss,standard_type,pchembl_value,target_chembl_id,uniprot
NPC100067,CHEMBL1644933,1.0000,IC50,6.3500,CHEMBL335,P18031
NPC100067,CHEMBL1644933,1.0000,IC50,5.3000,CHEMBL335,P18031
NPC100079,CHEMBL258893,1.0000,IC50,7.6200,CHEMBL3582,Q02156
NPC100079,CHEMBL258893,1.0000,IC50,5.1600,CHEMBL6094,P63000
NPC100079,CHEMBL258893,1.0000,Ki,5.9500,CHEMBL220,P22303
NPC100079,CHEMBL258893,1.0000,Ki,6.5000,CHEMBL220,P22303
NPC100079,CHEMBL258893,1.0000,Ki,6.0400,CHEMBL4078,O42275
NPC100079,CHEMBL258893,1.0000,Ki,6.3200,CHEMBL4078,O42275
NPC100079,CHEMBL258893,1.0000,IC50,5.8100,CHEMBL220,P22303
NPC100079,CHEMBL258893,1.0000,IC50,5.4200,CHEMBL4078,O42275
NPC100079,CHEMBL258893,1.0000,IC50,5.2000,CHEMBL5763,P81908
NPC100148,CHEMBL1537093,1.0000,EC50,6.4000,CHEMBL206,P03372
NPC100148,CHEMBL1537093,1.0000,IC50,6.0000,CHEMBL4641,O43497
NPC100148,CHEMBL1537093,1.0000,IC50,6.0000,CHEMBL1859,O95180
NPC100165,CHEMBL7594,0.9615,Ki,5.8200,CHEMBL235,P37231
NPC100165,CHEMBL15594,0.9615,Kd,6.7500,CHEMBL2083,P15090
NPC100165,CHEMBL15594,0.9615,IC50,5.5100,CHEMBL3979,Q03181
NPC100165,CHEMBL15594,0.9615,IC50,5.8000,CHEMBL235,P37231
NPC100165,CHEMBL15594,0.9615,IC50,5.9200,CHEMBL239,Q07869
NPC100165,CHEMBL267484,0.9615,IC50,6.0800,CHEMBL4681,P42330
NPC100165,CHEMBL267484,0.9615,IC50,6.1600,CHEMBL4681,P42330
NPC100165,CHEMBL464982,0.8889,IC50,6.1200,CHEMBL3979,Q03181
NPC100165,CHEMBL464982,0.8889,IC50,5.6600,CHEMBL235,P37231
NPC100165,CHEMBL464982,0.8889,IC50,6.5700,CHEMBL239,Q07869
NPC100165,CHEMBL267476,0.8571,IC50,6.0000,CHEMBL4586,P08170
NPC100165,CHEMBL267476,0.8571,IC50,6.0000,CHEMBL2083,P15090
NPC100165,CHEMBL267476,0.8571,Kd,8.3200,CHEMBL239,Q07869
NPC100165,CHEMBL267476,0.8571,IC50,5.0000,CHEMBL3979,Q03181
NPC100165,CHEMBL267476,0.8571,IC50,5.2100,CHEMBL235,P37231
NPC100165,CHEMBL267476,0.8571,IC50,5.9600,CHEMBL239,Q07869
NPC100165,CHEMBL267476,0.8571,IC50,6.0000,CHEMBL3344,P05413
NPC100165,CHEMBL267476,0.8571,Ki,5.1700,CHEMBL2083,P15090
NPC100165,CHEMBL267476,0.8571,Ki,5.0300,CHEMBL3344,P05413
NPC100165,CHEMBL267476,0.8571,IC50,6.1600,CHEMBL4681,P42330
NPC100165,CHEMBL465183,0.8571,IC50,5.3700,CHEMBL3979,Q03181
NPC100165,CHEMBL465183,0.8571,IC50,5.6200,CHEMBL235,P37231
NPC100165,CHEMBL465183,0.8571,IC50,5.8500,CHEMBL239,Q07869
NPC100165,CHEMBL463437,0.8519,IC50,6.0500,CHEMBL1781,P11387
NPC100165,CHEMBL3426918,0.8519,IC50,6.0900,CHEMBL1781,P11387
NPC100199,CHEMBL280487,0.8942,IC50,6.9000,CHEMBL2845,O75688
NPC100199,CHEMBL280487,0.8942,IC50,8.1500,CHEMBL4703,P67775
NPC100199,CHEMBL280487,0.8942,IC50,9.3500,CHEMBL2669,Q8AWE3
NPC100199,CHEMBL280487,0.8942,IC50,8.9100,CHEMBL335,P18031
NPC100199,CHEMBL280487,0.8942,IC50,5.8900,CHEMBL335,P18031
NPC100199,CHEMBL280487,0.8942,IC50,7.2200,CHEMBL335,P18031
NPC100199,CHEMBL280487,0.8942,IC50,9.0000,CHEMBL2669,Q8AWE3
NPC100199,CHEMBL280487,0.8942,IC50,7.3500,CHEMBL4438,P36873
NPC100199,CHEMBL280487,0.8942,IC50,6.5800,CHEMBL4438,P36873
NPC100199,CHEMBL280487,0.8942,IC50,7.1100,CHEMBL4438,P36873
NPC100199,CHEMBL280487,0.8942,IC50,5.9400,CHEMBL4438,P36873
NPC100199,CHEMBL280487,0.8942,IC50,7.5500,CHEMBL4438,P36873
NPC100199,CHEMBL280487,0.8942,IC50,7.3200,CHEMBL4438,P36873
NPC100199,CHEMBL280487,0.8942,IC50,8.4700,CHEMBL335,P18031
NPC100199,CHEMBL280487,0.8942,IC50,10.1500,CHEMBL4763,Q15172
NPC100199,CHEMBL280487,0.8942,IC50,7.7000,CHEMBL4438,P36873
NPC100251,CHEMBL4588699,0.9825,IC50,5.3500,CHEMBL230,P35354
NPC100251,CHEMBL39504,0.8871,IC50,6.2700,CHEMBL4241,P52020
NPC100267,CHEMBL507237,1.0000,IC50,6.5200,CHEMBL1803,P20701
NPC100267,CHEMBL507237,1.0000,IC50,5.5200,CHEMBL4026,P40763
NPC100386,CHEMBL1651095,1.0000,Ki,6.3000,CHEMBL1833,P41595
NPC100386,CHEMBL1651095,1.0000,Ki,6.2900,CHEMBL1833,P41595
NPC100386,CHEMBL4218231,1.0000,Ki,5.6600,CHEMBL225,P28335
NPC100386,CHEMBL4218231,1.0000,Ki,6.2100,CHEMBL1833,P41595
NPC100386,CHEMBL4207302,1.0000,Ki,5.8000,CHEMBL225,P28335
NPC100386,CHEMBL4207302,1.0000,Ki,6.8900,CHEMBL1833,P41595
NPC100386,CHEMBL4217810,1.0000,Ki,6.4000,CHEMBL1833,P41595
NPC10041,CHEMBL226335,1.0000,Ki,5.0200,CHEMBL1916,P18825
NPC10041,CHEMBL226335,1.0000,Ki,5.0300,CHEMBL1867,P08913
NPC10041,CHEMBL226335,1.0000,IC50,7.9200,CHEMBL220,P22303
NPC10041,CHEMBL226335,1.0000,EC50,5.9200,CHEMBL1075144,Q9GZQ4
NPC10041,CHEMBL226335,1.0000,IC50,5.6700,CHEMBL6136,O60341
NPC10041,CHEMBL4536358,0.8529,IC50,5.4700,CHEMBL4523129,O15056
NPC100454,CHEMBL1159657,1.0000,IC50,9.1000,CHEMBL4497,P03887
NPC100482,CHEMBL2335722,1.0000,Kd,7.8000,CHEMBL1783,P15692
NPC100482,CHEMBL2335722,1.0000,Kd,7.9600,CHEMBL1697671,P49763
NPC100551,CHEMBL424,1.0000,Ki,5.0000,CHEMBL261,P00915
NPC100551,CHEMBL424,1.0000,Ki,5.1500,CHEMBL205,P00918
NPC100551,CHEMBL424,1.0000,Ki,5.1400,CHEMBL5973,Q99N23
NPC100551,CHEMBL424,1.0000,Ki,5.0600,CHEMBL3242,O43570
NPC100551,CHEMBL424,1.0000,Kd,6.0000,CHEMBL2311236,P09429
NPC100551,CHEMBL424,1.0000,Ki,9.8000,CHEMBL4523354,Q6XQN6
NPC100648,CHEMBL3349895,1.0000,Ki,5.3700,CHEMBL5136,P21556
NPC100665,CHEMBL2299040,0.8696,IC50,6.9400,CHEMBL3199,P37136
NPC100677,CHEMBL1172216,1.0000,IC50,5.0400,CHEMBL3399911,P35520
NPC100677,CHEMBL1172216,1.0000,IC50,5.8500,CHEMBL3399911,P35520
NPC100677,CHEMBL1172216,1.0000,IC50,5.2600,CHEMBL3399911,P35520
NPC100677,CHEMBL1172216,1.0000,IC50,6.0500,CHEMBL3399911,P35520
NPC10068,CHEMBL463437,0.9583,IC50,6.0500,CHEMBL1781,P11387
NPC10068,CHEMBL3426918,0.9583,IC50,6.0900,CHEMBL1781,P11387
NPC10068,CHEMBL8659,0.9167,Ki,6.7300,CHEMBL2083,P15090
NPC10068,CHEMBL8659,0.9167,Ki,6.6100,CHEMBL3674,Q01469
NPC10068,CHEMBL8659,0.9167,Ki,5.2200,CHEMBL2243,O00519
NPC10068,CHEMBL8659,0.9167,Ki,6.7500,CHEMBL5738,P02692
NPC10068,CHEMBL8659,0.9167,Kd,6.7000,CHEMBL5421,P07148
NPC10068,CHEMBL8659,0.9167,Kd,6.0500,CHEMBL5421,P07148
NPC10068,CHEMBL8659,0.9167,Ki,5.5400,CHEMBL5738,P02692
NPC10068,CHEMBL8659,0.9167,IC50,5.2800,CHEMBL3979,Q03181
NPC10068,CHEMBL8659,0.9167,IC50,5.3900,CHEMBL235,P37231
NPC10068,CHEMBL8659,0.9167,IC50,6.2200,CHEMBL239,Q07869
NPC10068,CHEMBL8659,0.9167,IC50,5.0700,CHEMBL2916,O14746
NPC10068,CHEMBL8659,0.9167,Ki,5.8200,CHEMBL2083,P15090
NPC10068,CHEMBL8659,0.9167,IC50,5.2100,CHEMBL335,P18031
NPC10068,CHEMBL453509,0.9167,IC50,5.0200,CHEMBL3979,Q03181
NPC10068,CHEMBL453509,0.9167,IC50,5.1900,CHEMBL235,P37231
NPC10068,CHEMBL453509,0.9167,IC50,5.7700,CHEMBL239,Q07869
NPC10068,CHEMBL453509,0.9167,IC50,5.1900,CHEMBL335,P18031
NPC10068,CHEMBL3122153,0.9167,Kd,7.1300,CHEMBL3344,P05413
